epoch,capsnet_binary_accuracy,capsnet_fbeta_score,capsnet_loss,capsnet_precision,capsnet_recall,decoder_binary_accuracy,decoder_fbeta_score,decoder_loss,decoder_precision,decoder_recall,loss,val_capsnet_binary_accuracy,val_capsnet_fbeta_score,val_capsnet_loss,val_capsnet_precision,val_capsnet_recall,val_decoder_binary_accuracy,val_decoder_fbeta_score,val_decoder_loss,val_decoder_precision,val_decoder_recall,val_loss
0,0.5812834821,0.419877565,0.6850839681,0.52311746,0.3072689789,0.0177143206,0.9702252487,0.6931162065,0.9669968281,0.9836562477,1.3782001755,0.6035714286,0.5101954912,0.6649704496,0.6418044885,0.3063546592,0.0170326451,0.9632478694,0.6930965991,0.9582627508,0.9841570101,1.3580670476
1,0.6022544643,0.5415249526,0.6667785529,0.5960183373,0.4459431742,0.0172436523,0.9698514304,0.6930901111,0.966470077,0.9839353929,1.3598686629,0.6151785714,0.5557879618,0.6590087768,0.6100974996,0.4362498447,0.0171470424,0.9632545558,0.6930723281,0.9582579803,0.9842117972,1.352081104
2,0.6067522321,0.5497387045,0.6634429719,0.5984147459,0.4619553043,0.0173515974,0.970224656,0.693070751,0.9668298934,0.9843654609,1.3565137224,0.616875,0.5597558112,0.6563696914,0.6114250647,0.4446691353,0.0171651786,0.9631511896,0.6930524385,0.9582241055,0.9838154714,1.3494221272
3,0.6091964286,0.5556359762,0.6619076519,0.6001930588,0.4694988412,0.0180025809,0.9696710953,0.693054223,0.9662221106,0.9840464248,1.3549618743,0.6199107143,0.5650182249,0.6548419014,0.614022995,0.4546268646,0.0183147321,0.9635769129,0.6930340297,0.9582834962,0.9857930223,1.3478759319
4,0.6101674107,0.556990365,0.6606000541,0.6009333461,0.4724650374,0.0189737374,0.9698048716,0.6930400444,0.9662108165,0.9847816283,1.3536400995,0.6229464286,0.5705767977,0.6536211245,0.6155474319,0.4666798495,0.0180189732,0.9632413207,0.6930212654,0.9582481188,0.9841863227,1.3466423879
5,0.6138392857,0.5630162288,0.6586354627,0.6046364338,0.4797259121,0.0195197405,0.9704371522,0.6930280836,0.9668055596,0.9855458923,1.351663547,0.6245535714,0.5714056115,0.6524844984,0.6262454118,0.4492402432,0.0189760045,0.9635639397,0.6930068627,0.9583067545,0.9856253488,1.3454913647
6,0.617109375,0.5678135592,0.6571139084,0.607176159,0.4885518316,0.0196025739,0.9701177343,0.6930170621,0.9665771363,0.9848620684,1.3501309694,0.6163392857,0.5407781426,0.6552665218,0.6519447841,0.3487137047,0.0195800781,0.9636108175,0.6929927353,0.9583522941,0.9856743264,1.3482592576
7,0.6180357143,0.57004543,0.6563217701,0.6102186664,0.486848869,0.0202082171,0.9700672913,0.6930074705,0.9663872608,0.9853916376,1.3493292409,0.626875,0.5785514483,0.6510692288,0.6194930891,0.4814248909,0.0199553571,0.9638080369,0.6929850207,0.9583580128,0.98668196,1.3440542521
8,0.61875,0.5711229064,0.6563567093,0.6091405722,0.4901548124,0.0205339704,0.9704733762,0.6929989923,0.9667744193,0.9858680261,1.3493557013,0.6142857143,0.5314444663,0.6588688529,0.6594279123,0.3260890907,0.0206752232,0.9638753448,0.6929744092,0.9583673329,0.9869966034,1.3518432644
9,0.6214620536,0.5744765517,0.6553598474,0.6128447165,0.4939647606,0.0208986119,0.9704094166,0.6929908309,0.9666654189,0.9860069546,1.3483506793,0.6225,0.561233149,0.6518824186,0.641436476,0.4013976838,0.0208412388,0.9637223135,0.6929656834,0.9583760732,0.9861590772,1.3448480981
