epoch,acc,fbeta_score,loss,precision,recall,val_acc,val_fbeta_score,val_loss,val_precision,val_recall
0,0.6177790179,0.5386506745,0.6561404834,0.5974430825,0.4632201908,0.6148214286,0.5805270764,0.6567168893,0.5573584282,0.7223831506
1,0.6412165179,0.6006557989,0.6415947197,0.6352549547,0.5353033635,0.6459821429,0.6024931234,0.6383138497,0.6060842178,0.6121549356
2,0.6486830357,0.611487572,0.6354371689,0.6416548027,0.5549154656,0.655625,0.6105580592,0.630429735,0.6347088113,0.553317985
3,0.6538169643,0.6173962522,0.6302867381,0.6454706586,0.5639977905,0.6525,0.6032367876,0.6303255286,0.6626741399,0.4710843952
4,0.6602566964,0.6259580519,0.6267321785,0.6505693664,0.5799647066,0.6641964286,0.6212870885,0.6257025086,0.6349920879,0.5960478524
5,0.6626897321,0.6286710487,0.6232196966,0.6519224093,0.5838990266,0.6627678571,0.6196908268,0.6225213589,0.6655496187,0.5105087916
6,0.6668861607,0.6333232983,0.6204124281,0.6558316377,0.5893091821,0.6624107143,0.6217035891,0.6236729975,0.6175520038,0.6638687555
7,0.6692075893,0.6363973958,0.6179867112,0.6574121728,0.5978735098,0.6617857143,0.6205778218,0.6242765649,0.6156787112,0.6677082909
8,0.6701450893,0.6362396245,0.6151568225,0.6563695704,0.5988331204,0.6701785714,0.6273954472,0.6170851012,0.6748169265,0.5153670008
9,0.67390625,0.6416461812,0.6124990746,0.6617951331,0.6043337277,0.6746428571,0.6353322488,0.616449727,0.658534082,0.5816819168
10,0.6762388393,0.6443485806,0.6102004521,0.6636122449,0.6092205987,0.6685714286,0.628634784,0.6159811424,0.6263339555,0.6632383823
11,0.6782477679,0.6460882632,0.6074418454,0.6644314631,0.6139909088,0.6752678571,0.6363492554,0.6127620067,0.6399746943,0.6476058971
12,0.681171875,0.6498036205,0.6052222207,0.6677827419,0.6174215108,0.6748214286,0.63479978,0.6094208223,0.6545126119,0.5914182316
13,0.6835714286,0.6520364265,0.6021596814,0.6698982288,0.6209990523,0.6644642857,0.6248786549,0.618718201,0.6155199111,0.6913215696
14,0.685234375,0.6544460262,0.5999377874,0.6724498862,0.6239075368,0.6701785714,0.6307483191,0.6146799781,0.6373010629,0.6320903125
15,0.6882924107,0.6586153701,0.5970020791,0.675440178,0.6311963792,0.6778571429,0.6389423406,0.6095196782,0.6441667758,0.6437159697
16,0.6915848214,0.662176338,0.5937102495,0.6792800181,0.6334463308,0.6790178571,0.6402863067,0.6132769273,0.6844196773,0.5337847916
