epoch,capsnet_binary_accuracy,capsnet_fbeta_score,capsnet_loss,capsnet_precision,capsnet_recall,decoder_binary_accuracy,decoder_fbeta_score,decoder_loss,decoder_precision,decoder_recall,loss,val_capsnet_binary_accuracy,val_capsnet_fbeta_score,val_capsnet_loss,val_capsnet_precision,val_capsnet_recall,val_decoder_binary_accuracy,val_decoder_fbeta_score,val_decoder_loss,val_decoder_precision,val_decoder_recall,val_loss
0,0.5403891509,0.0604318035,0.8377897329,0.078733481,0.0569308767,0.01178324,0.9658051482,0.6931599671,0.9650408946,0.969268566,1.5309496983,0.5400000001,0,0.7040503032,0,0,0.0097017045,0.9615046987,0.6931650056,0.9595970214,0.96969906,1.3972152966
1,0.5403800475,0,0.706588868,0,0,0.0118022565,0.9658012274,0.693162281,0.9649487203,0.969684887,1.3997511456,0.5400000001,0,0.7018701139,0,0,0.0097443182,0.9614613706,0.6931640122,0.9595903717,0.9695076541,1.3950341199
2,0.5374109264,0.0098420483,0.7048673522,0.0285035595,0.0027366669,0.0116909145,0.9655348668,0.6931614714,0.9646237613,0.9695544884,1.3980288254,0.5400000001,0,0.7000222208,0,0,0.0097159091,0.9614373467,0.6931638026,0.9595857906,0.9694035112,1.3931860321
3,0.541567696,0,0.7014485272,0,0,0.0119321556,0.9665974935,0.6931613743,0.9659529808,0.9694732396,1.3946099015,0.5400000001,0.0072727251,0.6982513183,0.0290909056,0.0018181818,0.0096732955,0.9614204008,0.6931629092,0.9595828256,0.9693294402,1.3914142171
4,0.5400831354,0.028479713,0.7006629871,0.1045130517,0.007322597,0.0120342191,0.9660563865,0.6931604954,0.9653199594,0.9694005163,1.3938234821,0.5390909092,0.014928226,0.6968195566,0.0581818112,0.0037575759,0.0096164773,0.9613966612,0.6931623459,0.9595786693,0.9692257324,1.3899818932
5,0.5439429929,0.0130706548,0.6985187026,0.0443388714,0.0037326095,0.0119646303,0.9652344872,0.6931605193,0.9643036072,0.9693265135,1.3916792179,0.540909091,0.0478710266,0.6953984358,0.1454545316,0.0132239886,0.0096022727,0.9613800413,0.6931617685,0.9595761897,0.969152218,1.388560198
6,0.5430522565,0.0709600477,0.6976494772,0.2399049618,0.0191322498,0.011811535,0.966184668,0.6931592763,0.9655504677,0.9690863773,1.3908087488,0.5400000001,0.0296179117,0.694051492,0.0872727203,0.0083415981,0.0095880682,0.9613734575,0.6931615346,0.9595858877,0.9690769436,1.3872130273
7,0.5406769596,0.0415988284,0.6957445567,0.1330166138,0.011613291,0.0112409071,0.9659845181,0.6931582828,0.9652662981,0.9692187907,1.3889028412,0.5472727274,0.1098674531,0.6929822365,0.3345454233,0.0319955833,0.0095738636,0.961363189,0.6931609208,0.9595839769,0.9690323619,1.3861431434
8,0.5483966746,0.1015663861,0.6948592479,0.3357085966,0.0277395309,0.0117697818,0.9654959437,0.6931590588,0.9646773685,0.969115506,1.3880183034,0.5436363637,0.0734061436,0.6920612129,0.2181817974,0.0221632889,0.0095454545,0.9613492359,0.6931608831,0.9595810673,0.9689725388,1.3852220787
9,0.5451306413,0.1316083372,0.6948565919,0.4115597434,0.0373521547,0.0120017444,0.9637256589,0.6931581616,0.9624959164,0.9690295802,1.3880147506,0.5472727274,0.1098674531,0.6911536514,0.3345454233,0.0319955833,0.0095454545,0.9613492359,0.6931603848,0.9595810673,0.9689725388,1.3843140437
10,0.5472090261,0.1692559134,0.6938915602,0.470308758,0.052533176,0.0118208135,0.965931682,0.6931581719,0.9652486384,0.9690027558,1.387049726,0.5518181819,0.1468754209,0.6903963776,0.392727245,0.0455959226,0.00953125,0.9613492359,0.6931600395,0.9595810673,0.9689725388,1.3835564119
11,0.5489904988,0.1238760209,0.6913897176,0.3304829579,0.0379785143,0.0115192622,0.965805539,0.6931577316,0.9651046949,0.968950873,1.384547451,0.5554545456,0.1649574614,0.6896505928,0.426666636,0.0530154089,0.0095454545,0.9613415978,0.6931597762,0.9595786676,0.9689415843,1.3828103742
12,0.5576009501,0.2141060373,0.6907890653,0.5187648269,0.0690326717,0.0116769967,0.9656950129,0.6931576083,0.9649408276,0.9689723746,1.3839466832,0.5472727274,0.1098674531,0.6891993919,0.3345454233,0.0319955833,0.0095454545,0.9613347886,0.6931597981,0.9595774469,0.9689119354,1.3823591813
13,0.5507719715,0.2081532316,0.6922442161,0.5371337789,0.0683104553,0.0115378192,0.9656368587,0.6931570024,0.9649121271,0.9689110945,1.3854012172,0.5563636365,0.1749141684,0.6885329255,0.446060576,0.0571508814,0.0095454545,0.9613347886,0.69315944,0.9595774469,0.9689119354,1.3816923644
14,0.5593824228,0.2338715528,0.6906064062,0.5546318041,0.0791792001,0.0118022565,0.9664538906,0.6931571819,0.9659074308,0.9688993115,1.3837635857,0.5563636365,0.1718838657,0.688126056,0.4557575417,0.0547266389,0.0095454545,0.9613347886,0.6931593364,0.9595774469,0.9689119354,1.38128539
15,0.5510688836,0.2329366584,0.6902837671,0.5178938886,0.0822814077,0.0113754454,0.9655846247,0.6931568059,0.9648508422,0.9688696911,1.3834405735,0.5563636365,0.1749141684,0.6876910112,0.446060576,0.0571508814,0.00953125,0.9613347886,0.6931591496,0.9595774469,0.9689119354,1.3808501573
16,0.5611638955,0.2415512721,0.6887494871,0.5735550006,0.0827743244,0.0118393705,0.9655340838,0.6931568854,0.9647346663,0.9689833907,1.3819063791,0.5563636365,0.1749141684,0.687322485,0.446060576,0.0571508814,0.00953125,0.9613313883,0.6931590106,0.9595768348,0.9688971084,1.3804815102
17,0.5507719715,0.2602351972,0.6909028259,0.5562417357,0.0944792301,0.0111156473,0.9667201116,0.6931565799,0.9662566004,0.9688788791,1.3840594014,0.5581818183,0.2275056046,0.6869036551,0.5333333033,0.0769413135,0.00953125,0.9613313883,0.6931587115,0.9595768348,0.9688971084,1.3800623729
18,0.567695962,0.3108273653,0.6892577919,0.6206537596,0.1167721621,0.0113708061,0.9650901975,0.6931565209,0.9642599134,0.9688046592,1.382414307,0.5563636365,0.2034829634,0.6866317411,0.5042423907,0.0671231318,0.0095170455,0.9613277158,0.6931586734,0.9595758447,0.968881886,1.3797904127
19,0.5632422803,0.2876404992,0.6875848078,0.5709421915,0.1098303381,0.0115470977,0.9656580752,0.6931561019,0.9649334401,0.9688740326,1.3807409093,0.5563636365,0.1880428531,0.6863606574,0.4557575486,0.0626209671,0.0095170455,0.9613277158,0.693158557,0.9595758447,0.968881886,1.379519219
